,keyword,category,Explanation
0,Loli Lolicon Toddler,Child Sexual Exploitation,
1,Young girl,Child Sexual Exploitation,
2,Young boy,Child Sexual Exploitation,
3,Pre teen,Child Sexual Exploitation,
4,Pedo,Child Sexual Exploitation,
5,lolitas,Child Sexual Exploitation,
6,AdultWork.comAdultWork.com,Child Sexual Exploitation,
7,Adult Service Providers & Erotic Content,Child Sexual Exploitation,
8,Sensitive stalk,Child Sexual Exploitation,
9,Black Virgin,Child Sexual Exploitation,
10,pondo tiny,Child Sexual Exploitation,
11,probiller.trueamateurs.com​,Child Sexual Exploitation,
12,young,Child Sexual Exploitation,
13,bald,Child Sexual Exploitation,
14,lolicon rape king,Child Sexual Exploitation,
15,lolicon English rape,Child Sexual Exploitation,
16,Lillie,Child Sexual Exploitation,
17,virgin,Child Sexual Exploitation,
18,lolicon rape glass,Child Sexual Exploitation,
19,panties,Child Sexual Exploitation,
20,bunny cottontail,Child Sexual Exploitation,
21,Incest,Child Sexual Exploitation,
22,roblox,Child Sexual Exploitation,
23,Small Mousepad,Child Sexual Exploitation,
24,exploited asia,Child Sexual Exploitation,
25,exploited,Child Sexual Exploitation,
26,repel daughter,Child Sexual Exploitation,
27,vietnamese,Child Sexual Exploitation,
28,roblox.com,Child Sexual Exploitation,
29,babyj,Child Sexual Exploitation,
30,babyshivid,Child Sexual Exploitation,
31,childlover,Child Sexual Exploitation,
32,childporn,Child Sexual Exploitation,
33,childsex,Child Sexual Exploitation,
34,childfugga,Child Sexual Exploitation,
35,ddoggprn,Child Sexual Exploitation,
36,hussyfan,Child Sexual Exploitation,
37,kdquality,Child Sexual Exploitation,
38,kidzilla,Child Sexual Exploitation,
39,kingpass,Child Sexual Exploitation,
40,mafiasex,Child Sexual Exploitation,
41,pedo,Child Sexual Exploitation,
42,pedofilia,Child Sexual Exploitation,
43,pedofilo,Child Sexual Exploitation,
44,pedoland,Child Sexual Exploitation,
45,pedophile,Child Sexual Exploitation,
46,Child Sexual Exploitation,Child Sexual Exploitation,
47,pedophilie,Child Sexual Exploitation,
48,pthc,Child Sexual Exploitation,
49,ptsc,Child Sexual Exploitation,
50,qqaazz,Child Sexual Exploitation,
51,raygold,Child Sexual Exploitation,
52,reelkiddymov,Child Sexual Exploitation,
53,yamad,Child Sexual Exploitation,
54,"""youngvideomodels",Child Sexual Exploitation,
55,PTHC,Child Sexual Exploitation,
56,Pre Teen Hard Core,Child Sexual Exploitation,
57,R@ygold,Child Sexual Exploitation,
58,Yamad,Child Sexual Exploitation,
59,12yo,Child Sexual Exploitation,
60,Hussyfan,Child Sexual Exploitation,
61,Underage,Child Sexual Exploitation,
62,qqaazz,Child Sexual Exploitation,
63,lordofthering,Child Sexual Exploitation,
64,001a,Child Sexual Exploitation,
65,10of,Child Sexual Exploitation,
66,1man,Child Sexual Exploitation,
67,2005new,Child Sexual Exploitation,
68,7e,Child Sexual Exploitation,
69,7o,Child Sexual Exploitation,
70,abt,Child Sexual Exploitation,
71,ass,Child Sexual Exploitation,
72,avi,Child Sexual Exploitation,
73,baby,Child Sexual Exploitation,
74,babyj,Child Sexual Exploitation,
75,babyshivid,Child Sexual Exploitation,
76,babyshvid,Child Sexual Exploitation,
77,bambina,Child Sexual Exploitation,
78,bbx,Child Sexual Exploitation,
79,bd,Child Sexual Exploitation,
80,bella,Child Sexual Exploitation,
81,beyword,Child Sexual Exploitation,
82,boy,Child Sexual Exploitation,
